Player,Season,Team,Position,PTS,TRB,AST,STL,BLK,TOV,FT,FG%,3P%,2P%,FT%,TS%,BPM,OBPM,DBPM,PER,WS
James Harden,2016-17,HOU,PG,29.1,8.1,11.2,1.5,0.5,5.7,9.2,0.44,0.347,0.53,0.847,0.613,8.7,7.5,1.2,27.4,15.0
Russell Westbrook,2016-17,OKC,PG,31.6,10.7,10.4,1.6,0.4,5.4,8.8,0.425,0.343,0.459,0.845,0.554,11.1,8.7,2.4,30.6,13.1
Anthony Davis,2016-17,NOP,C,28.0,11.8,2.1,1.3,2.2,2.4,6.9,0.505,0.299,0.524,0.802,0.58,5.9,4.4,1.4,27.5,11.0
Devin Booker,2016-17,PHO,SG,22.1,3.2,3.4,0.9,0.3,3.1,4.7,0.423,0.363,0.447,0.832,0.531,-1.9,0.3,-2.3,14.6,2.0
Damian Lillard,2016-17,POR,PG,27.0,4.9,5.9,0.9,0.3,2.6,6.5,0.444,0.37,0.492,0.895,0.586,5.0,6.1,-1.1,24.1,10.4
Jimmy Butler,2016-17,CHI,SF,23.9,6.2,5.5,1.9,0.4,2.1,7.7,0.455,0.367,0.477,0.865,0.586,7.3,5.6,1.7,25.1,13.8
Kyrie Irving,2016-17,CLE,PG,25.2,3.2,5.8,1.2,0.3,2.5,4.1,0.473,0.401,0.505,0.905,0.58,3.4,4.7,-1.3,23.0,8.9
Paul George,2016-17,IND,SF,23.7,6.6,3.3,1.6,0.4,2.9,4.5,0.461,0.393,0.501,0.898,0.587,3.1,3.0,0.1,20.2,7.1
Chris Paul,2016-17,LAC,PG,18.1,5.0,9.2,2.0,0.1,2.4,3.8,0.476,0.411,0.518,0.892,0.614,8.7,6.3,2.5,26.2,10.6
Klay Thompson,2016-17,GSW,SG,22.3,3.7,2.1,0.8,0.5,1.6,2.4,0.468,0.414,0.516,0.853,0.592,0.8,2.4,-1.6,17.4,7.1
Bradley Beal,2016-17,WAS,SG,23.1,3.1,3.5,1.1,0.3,2.0,3.7,0.482,0.404,0.538,0.825,0.604,3.3,4.2,-1.0,20.1,8.5
DeMar DeRozan,2016-17,TOR,SG,27.3,5.2,3.9,1.1,0.2,2.4,7.4,0.467,0.266,0.484,0.842,0.552,3.0,4.1,-1.0,24.0,9.0
Mike Conley,2016-17,MEM,PG,20.5,3.5,6.3,1.3,0.3,2.3,4.6,0.46,0.408,0.497,0.859,0.604,6.8,6.0,0.8,23.2,10.0
Julius Randle,2016-17,LAL,PF,13.2,8.6,3.6,0.7,0.5,2.3,2.8,0.488,0.27,0.507,0.723,0.543,-0.9,-0.6,-0.3,16.3,3.5
Jaylen Brown,2016-17,BOS,SF,6.6,2.8,0.8,0.4,0.2,0.9,1.1,0.454,0.341,0.507,0.685,0.539,-3.7,-3.0,-0.8,10.3,1.5
Jrue Holiday,2016-17,NOP,PG,15.4,3.9,7.3,1.5,0.7,2.9,1.8,0.454,0.356,0.498,0.708,0.532,1.3,1.0,0.2,17.1,3.8
Andrew Wiggins,2016-17,MIN,SF,23.6,4.0,2.3,1.0,0.4,2.3,5.0,0.452,0.356,0.473,0.76,0.534,-1.7,0.7,-2.4,16.5,4.2
Kristaps Porzingis,2016-17,NYK,PF,18.1,7.2,1.5,0.7,2.0,1.8,3.0,0.45,0.357,0.493,0.786,0.546,0.3,0.7,-0.3,17.4,4.5
CJ McCollum,2016-17,POR,SG,23.0,3.6,3.6,0.9,0.5,2.2,3.4,0.48,0.421,0.506,0.912,0.585,2.0,3.4,-1.4,19.9,7.6
Domantas Sabonis,2016-17,OKC,PF,5.9,3.6,1.0,0.5,0.4,1.0,0.5,0.399,0.321,0.438,0.657,0.469,-4.5,-4.5,-0.1,6.9,0.8
Karl-Anthony Towns,2016-17,MIN,C,25.1,12.3,2.7,0.7,1.3,2.6,4.3,0.542,0.367,0.582,0.832,0.618,4.7,5.5,-0.7,25.9,12.7
Brandon Ingram,2016-17,LAL,SF,9.4,4.0,2.1,0.6,0.5,1.5,1.7,0.402,0.294,0.443,0.621,0.474,-4.4,-3.0,-1.4,8.5,-0.3
