Player,Season,Team,Position,PTS,TRB,AST,STL,BLK,TOV,FT,FG%,3P%,2P%,FT%,TS%,BPM,OBPM,DBPM,PER,WS
Jayson Tatum,2019-20,BOS,PF,23.4,7.0,3.0,1.4,0.9,2.3,3.8,0.45,0.403,0.48,0.812,0.567,4.0,3.5,0.6,20.4,6.9
Luka Dončić,2019-20,DAL,PG,28.8,9.4,8.8,1.0,0.2,4.3,7.0,0.463,0.316,0.574,0.758,0.585,8.4,7.4,1.0,27.6,8.8
Anthony Davis,2019-20,LAL,PF,26.1,9.3,3.2,1.5,2.3,2.5,7.2,0.503,0.33,0.546,0.846,0.61,8.0,5.4,2.6,27.4,11.1
Devin Booker,2019-20,PHO,SG,26.6,4.2,6.5,0.7,0.3,3.8,6.7,0.489,0.354,0.549,0.919,0.618,2.2,3.4,-1.3,20.6,7.5
Damian Lillard,2019-20,POR,PG,30.0,4.3,8.0,1.1,0.3,2.9,7.0,0.463,0.401,0.524,0.888,0.627,7.5,8.3,-0.9,26.9,11.6
Jimmy Butler,2019-20,MIA,SF,19.9,6.7,6.0,1.8,0.6,2.2,7.6,0.455,0.244,0.495,0.834,0.585,5.4,4.0,1.5,23.6,9.0
Kyrie Irving,2019-20,BRK,PG,27.4,5.2,6.4,1.4,0.5,2.6,4.7,0.478,0.394,0.522,0.922,0.595,7.7,6.7,0.9,26.2,2.9
Paul George,2019-20,LAC,SF,21.5,5.7,3.9,1.4,0.4,2.6,4.0,0.439,0.412,0.464,0.876,0.589,4.9,3.8,1.1,21.1,4.8
Chris Paul,2019-20,OKC,PG,17.6,5.0,6.7,1.6,0.2,2.3,3.6,0.489,0.365,0.554,0.907,0.61,4.4,3.0,1.4,21.7,8.9
Shai Gilgeous-Alexander,2019-20,OKC,SG,19.0,5.9,3.3,1.1,0.7,1.9,4.1,0.471,0.347,0.512,0.807,0.568,1.7,1.3,0.4,17.7,6.1
Ja Morant,2019-20,MEM,PG,17.8,3.9,7.3,0.9,0.3,3.3,3.6,0.477,0.335,0.511,0.776,0.556,0.3,1.4,-1.2,17.4,3.8
Zion Williamson,2019-20,NOP,PF,22.5,6.3,2.1,0.7,0.4,2.5,4.8,0.583,0.429,0.59,0.64,0.616,2.1,3.5,-1.4,24.1,2.0
Bradley Beal,2019-20,WAS,SG,30.5,4.2,6.1,1.2,0.4,3.4,6.8,0.455,0.353,0.515,0.842,0.579,2.9,5.3,-2.4,23.2,5.1
DeMar DeRozan,2019-20,SAS,SF,22.1,5.5,5.6,1.0,0.3,2.4,5.6,0.531,0.257,0.54,0.845,0.603,1.9,2.3,-0.4,21.6,7.3
Mike Conley,2019-20,UTA,PG,14.4,3.2,4.4,0.8,0.1,2.0,2.4,0.409,0.375,0.437,0.827,0.537,0.3,0.7,-0.4,14.1,2.5
Julius Randle,2019-20,NYK,PF,19.5,9.7,3.1,0.8,0.3,3.0,4.0,0.46,0.277,0.515,0.733,0.538,-0.3,0.7,-1.0,17.5,2.7
Jaylen Brown,2019-20,BOS,SG,20.3,6.4,2.1,1.1,0.4,2.2,3.1,0.481,0.382,0.543,0.724,0.583,0.8,1.0,-0.2,16.9,4.9
Jrue Holiday,2019-20,NOP,SG,19.1,4.8,6.7,1.6,0.8,3.0,2.1,0.455,0.353,0.509,0.709,0.537,1.8,1.6,0.2,17.0,3.9
Bam Adebayo,2019-20,MIA,PF,15.9,10.2,5.1,1.1,1.3,2.8,3.7,0.557,0.143,0.564,0.691,0.598,3.4,1.4,2.0,20.3,8.5
Andrew Wiggins,2019-20,2TM,SF,21.8,5.1,3.7,0.8,1.0,2.4,3.5,0.447,0.332,0.506,0.709,0.536,-0.3,1.1,-1.4,16.4,1.9
Kristaps Porzingis,2019-20,DAL,C,20.4,9.5,1.8,0.7,2.0,1.6,4.0,0.427,0.352,0.484,0.799,0.551,1.9,1.8,0.1,20.2,5.2
Deandre Ayton,2019-20,PHO,C,18.2,11.5,1.9,0.7,1.5,2.1,1.8,0.546,0.231,0.553,0.753,0.568,0.4,0.8,-0.4,20.0,3.1
CJ McCollum,2019-20,POR,SG,22.2,4.2,4.4,0.8,0.6,1.8,2.0,0.451,0.379,0.494,0.757,0.541,0.5,2.3,-1.8,17.0,4.1
Michael Porter Jr.,2019-20,DEN,SF,9.3,4.7,0.8,0.5,0.5,0.9,1.1,0.509,0.422,0.564,0.833,0.617,1.5,2.4,-0.8,19.8,2.9
RJ Barrett,2019-20,NYK,SG,14.3,5.0,2.6,1.0,0.3,2.2,2.8,0.402,0.32,0.432,0.614,0.479,-4.3,-2.9,-1.5,10.7,-0.5
Derrick White,2019-20,SAS,SG,11.3,3.3,3.5,0.6,0.9,1.3,2.6,0.458,0.366,0.518,0.853,0.593,1.3,1.2,0.1,16.4,4.2
Donovan Mitchell,2019-20,UTA,SG,24.0,4.4,4.3,1.0,0.2,2.7,4.0,0.449,0.366,0.494,0.863,0.558,1.9,2.4,-0.6,18.8,5.4
De'Aaron Fox,2019-20,SAC,PG,21.1,3.8,6.8,1.5,0.5,3.1,4.7,0.48,0.292,0.535,0.705,0.558,1.8,2.3,-0.5,20.6,4.0
Domantas Sabonis,2019-20,IND,PF,18.5,12.4,5.0,0.8,0.5,2.7,3.5,0.54,0.254,0.565,0.723,0.586,3.2,2.0,1.2,20.7,7.5
Karl-Anthony Towns,2019-20,MIN,C,26.5,10.8,4.4,0.9,1.2,3.1,5.1,0.508,0.412,0.586,0.796,0.642,7.8,7.0,0.8,26.5,5.1
Brandon Ingram,2019-20,NOP,PF,23.8,6.1,4.2,1.0,0.6,3.0,5.0,0.463,0.391,0.501,0.851,0.587,2.1,2.5,-0.4,18.8,5.1
Pascal Siakam,2019-20,TOR,PF,22.9,7.3,3.5,1.0,0.9,2.5,4.0,0.453,0.359,0.499,0.792,0.554,1.8,1.3,0.5,17.9,5.4
Fred VanVleet,2019-20,TOR,SG,17.6,3.8,6.6,1.9,0.3,2.2,3.1,0.413,0.39,0.434,0.848,0.553,2.7,1.3,1.4,16.3,5.8
Draymond Green,2019-20,GSW,PF,8.0,6.2,6.2,1.4,0.8,2.3,1.5,0.389,0.279,0.465,0.759,0.489,-0.2,-2.1,1.9,12.5,1.1
Brook Lopez,2019-20,MIL,C,12.0,4.6,1.5,0.7,2.4,1.0,1.9,0.435,0.314,0.549,0.836,0.551,2.0,-0.4,2.5,15.0,5.5
Mikal Bridges,2019-20,PHO,SF,9.1,4.0,1.8,1.4,0.6,1.0,1.4,0.51,0.361,0.61,0.844,0.62,0.8,-0.6,1.5,12.9,4.8
Aaron Gordon,2019-20,ORL,PF,14.4,7.7,3.7,0.8,0.6,1.6,2.4,0.437,0.308,0.494,0.674,0.516,0.0,-0.1,0.1,15.1,3.7
Darius Garland,2019-20,CLE,SG,12.3,1.9,3.9,0.7,0.1,2.6,1.1,0.401,0.355,0.434,0.875,0.498,-5.5,-2.7,-2.8,8.5,-1.3
Jalen Brunson,2019-20,DAL,PG,8.2,2.4,3.3,0.4,0.1,1.2,1.1,0.466,0.358,0.515,0.813,0.553,-0.9,0.1,-1.0,14.9,2.1
LeBron James,2020-21,LAL,PG,25.0,7.7,7.8,1.1,0.6,3.7,4.0,0.513,0.365,0.591,0.698,0.602,8.1,5.9,2.3,24.2,5.6
Kevin Durant,2020-21,BRK,PF,26.9,7.1,5.6,0.7,1.3,3.4,6.0,0.537,0.45,0.577,0.882,0.666,7.2,6.4,0.8,26.4,5.0
Stephen Curry,2020-21,GSW,PG,32.0,5.5,5.8,1.2,0.1,3.4,5.7,0.482,0.421,0.569,0.916,0.655,8.7,8.3,0.4,26.3,9.0
Nikola Jokić,2020-21,DEN,C,26.4,10.8,8.3,1.3,0.7,3.1,4.8,0.566,0.388,0.606,0.868,0.647,12.1,9.1,3.0,31.3,15.6
Giannis Antetokounmpo,2020-21,MIL,PF,28.1,11.0,5.9,1.2,1.2,3.4,6.5,0.569,0.303,0.636,0.685,0.633,9.0,6.2,2.8,29.2,10.2
Joel Embiid,2020-21,PHI,C,28.5,10.6,2.8,1.0,1.4,3.1,9.2,0.513,0.377,0.541,0.859,0.636,7.5,6.3,1.2,30.3,8.8
Kawhi Leonard,2020-21,LAC,SF,24.8,6.5,5.2,1.6,0.4,2.0,5.0,0.512,0.398,0.557,0.885,0.622,7.3,6.0,1.3,26.0,8.8
James Harden,2020-21,2TM,PG,24.6,7.9,10.8,1.2,0.8,4.0,6.3,0.466,0.362,0.553,0.861,0.618,7.2,6.2,1.0,24.5,7.0
Russell Westbrook,2020-21,WAS,PG,22.2,11.5,11.7,1.4,0.4,4.8,4.2,0.439,0.315,0.475,0.656,0.509,3.7,2.6,1.1,19.5,3.7
Jayson Tatum,2020-21,BOS,SF,26.4,7.4,4.3,1.2,0.5,2.7,4.6,0.459,0.386,0.502,0.868,0.576,3.9,4.2,-0.3,21.3,6.5
Luka Dončić,2020-21,DAL,PG,27.7,8.0,8.6,1.0,0.5,4.3,5.2,0.479,0.35,0.567,0.73,0.587,6.8,6.1,0.7,25.3,7.7
Anthony Davis,2020-21,LAL,PF,21.8,7.9,3.1,1.3,1.6,2.1,4.4,0.491,0.26,0.536,0.738,0.556,4.8,2.6,2.2,22.1,3.7
Devin Booker,2020-21,PHO,SG,25.6,4.2,4.3,0.8,0.2,3.1,5.1,0.484,0.34,0.543,0.867,0.587,0.3,1.7,-1.4,19.2,4.9
Damian Lillard,2020-21,POR,PG,28.8,4.2,7.5,0.9,0.3,3.0,6.7,0.451,0.391,0.519,0.928,0.623,6.3,7.5,-1.3,25.6,10.4
Jimmy Butler,2020-21,MIA,SF,21.5,6.9,7.1,2.1,0.3,2.1,6.9,0.497,0.245,0.538,0.863,0.607,7.7,5.4,2.3,26.5,9.3
Kyrie Irving,2020-21,BRK,PG,26.9,4.8,6.0,1.4,0.7,2.4,3.7,0.506,0.402,0.561,0.922,0.614,5.5,5.7,-0.2,24.4,7.4
Paul George,2020-21,LAC,SF,23.3,6.6,5.2,1.1,0.4,3.3,3.7,0.467,0.411,0.51,0.868,0.598,4.2,3.9,0.3,20.5,5.3
Chris Paul,2020-21,PHO,PG,16.4,4.5,8.9,1.4,0.3,2.2,2.4,0.499,0.395,0.543,0.934,0.599,4.6,3.5,1.1,21.4,9.2
Shai Gilgeous-Alexander,2020-21,OKC,SG,23.7,4.7,5.9,0.8,0.7,3.0,5.3,0.508,0.418,0.547,0.808,0.623,4.1,3.9,0.2,21.6,3.5
Ja Morant,2020-21,MEM,PG,19.1,4.0,7.4,0.9,0.2,3.2,4.3,0.449,0.303,0.499,0.728,0.537,-0.4,1.3,-1.6,16.7,3.2
Zion Williamson,2020-21,NOP,PF,27.0,7.2,3.7,0.9,0.6,2.7,6.0,0.611,0.294,0.622,0.698,0.649,5.8,6.1,-0.3,27.1,8.7
LaMelo Ball,2020-21,CHO,PG,15.7,5.9,6.1,1.6,0.4,2.8,2.5,0.436,0.352,0.489,0.758,0.539,1.8,1.1,0.7,17.5,2.8
Anthony Edwards,2020-21,MIN,SG,19.3,4.7,2.9,1.1,0.5,2.2,2.9,0.417,0.329,0.483,0.776,0.523,-2.1,-0.4,-1.7,13.9,0.8
Tyrese Haliburton,2020-21,SAC,PG,13.0,3.0,5.3,1.3,0.5,1.6,0.8,0.472,0.409,0.529,0.857,0.585,1.4,1.9,-0.5,16.2,3.5
Bradley Beal,2020-21,WAS,SG,31.3,4.7,4.4,1.2,0.4,3.1,6.8,0.485,0.349,0.535,0.889,0.593,3.4,4.8,-1.4,22.7,5.9
DeMar DeRozan,2020-21,SAS,PF,21.6,4.2,6.9,0.9,0.2,2.0,6.3,0.495,0.257,0.515,0.88,0.591,3.1,3.2,-0.1,22.0,7.4
Mike Conley,2020-21,UTA,PG,16.2,3.5,6.0,1.4,0.2,1.9,2.4,0.444,0.412,0.479,0.852,0.589,4.9,3.6,1.3,19.2,6.1
Julius Randle,2020-21,NYK,PF,24.1,10.2,6.0,0.9,0.3,3.4,4.9,0.456,0.411,0.474,0.811,0.567,3.8,2.9,0.9,19.7,7.8
Jaylen Brown,2020-21,BOS,SG,24.7,6.0,3.4,1.2,0.6,2.7,3.3,0.484,0.397,0.536,0.764,0.586,2.5,3.2,-0.7,19.9,4.8
Jrue Holiday,2020-21,MIL,PG,17.7,4.5,6.1,1.6,0.6,2.2,1.8,0.503,0.392,0.561,0.787,0.592,3.4,2.8,0.6,20.0,6.6
Bam Adebayo,2020-21,MIA,C,18.7,9.0,5.4,1.2,1.0,2.6,4.4,0.57,0.25,0.573,0.799,0.626,4.9,2.9,2.0,22.7,8.8
Andrew Wiggins,2020-21,GSW,PF,18.6,4.9,2.4,0.9,1.0,1.8,2.4,0.477,0.38,0.529,0.714,0.568,-0.4,0.0,-0.4,15.0,3.9
Kristaps Porzingis,2020-21,DAL,C,20.1,8.9,1.6,0.5,1.3,1.2,2.7,0.476,0.376,0.536,0.855,0.582,2.2,3.0,-0.8,21.3,4.3
Deandre Ayton,2020-21,PHO,C,14.4,10.5,1.4,0.6,1.2,1.5,1.9,0.626,0.2,0.639,0.769,0.653,1.2,1.1,0.1,20.3,8.4
CJ McCollum,2020-21,POR,SG,23.1,3.9,4.7,0.9,0.4,1.4,2.3,0.458,0.402,0.509,0.812,0.577,3.9,5.0,-1.1,20.8,4.7
Michael Porter Jr.,2020-21,DEN,SF,19.0,7.3,1.1,0.7,0.9,1.3,1.7,0.542,0.445,0.628,0.791,0.663,3.1,4.0,-0.9,20.6,6.9
Desmond Bane,2020-21,MEM,SG,9.2,3.1,1.7,0.6,0.2,0.9,0.6,0.469,0.432,0.513,0.816,0.6,-0.8,-0.6,-0.2,12.2,2.9
RJ Barrett,2020-21,NYK,SG,17.6,5.8,3.0,0.7,0.3,1.9,2.9,0.441,0.401,0.457,0.746,0.535,-1.2,-0.9,-0.3,13.4,4.1
Derrick White,2020-21,SAS,SG,15.4,3.0,3.5,0.7,1.0,1.3,2.7,0.411,0.346,0.486,0.851,0.55,1.3,1.3,0.0,15.0,1.9
Donovan Mitchell,2020-21,UTA,PG,26.4,4.4,5.2,1.0,0.3,2.8,5.0,0.438,0.386,0.476,0.845,0.569,4.3,4.6,-0.2,21.3,6.2
De'Aaron Fox,2020-21,SAC,PG,25.2,3.5,7.2,1.5,0.5,3.0,5.2,0.477,0.322,0.539,0.719,0.565,1.8,3.1,-1.3,20.7,4.2
Domantas Sabonis,2020-21,IND,PF,20.3,12.0,6.7,1.2,0.5,3.4,3.9,0.535,0.321,0.582,0.732,0.601,3.8,2.3,1.6,20.6,6.9
Karl-Anthony Towns,2020-21,MIN,C,24.8,10.6,4.5,0.8,1.1,3.2,5.3,0.486,0.387,0.541,0.859,0.612,4.5,4.3,0.2,23.1,5.4
Brandon Ingram,2020-21,NOP,SF,23.8,4.9,4.9,0.7,0.6,2.5,4.6,0.466,0.381,0.51,0.878,0.584,2.2,3.3,-1.1,19.2,5.3
Pascal Siakam,2020-21,TOR,PF,21.4,7.2,4.5,1.1,0.7,2.3,4.4,0.455,0.297,0.509,0.827,0.547,0.8,1.0,-0.3,17.7,4.2
Fred VanVleet,2020-21,TOR,SG,19.6,4.2,6.3,1.7,0.7,1.8,3.3,0.389,0.366,0.416,0.885,0.534,2.5,2.2,0.2,16.8,4.3
Draymond Green,2020-21,GSW,PF,7.0,7.1,8.9,1.7,0.8,3.0,1.1,0.447,0.27,0.535,0.795,0.53,1.7,-1.6,3.3,13.3,4.6
Brook Lopez,2020-21,MIL,C,12.3,5.0,0.7,0.6,1.5,0.9,1.7,0.503,0.338,0.632,0.845,0.611,0.0,0.0,0.0,15.4,5.3
Mikal Bridges,2020-21,PHO,SF,13.5,4.3,2.1,1.1,0.9,0.8,1.5,0.543,0.425,0.647,0.84,0.667,3.3,2.4,0.9,16.4,8.0
Aaron Gordon,2020-21,2TM,PF,12.4,5.7,3.2,0.7,0.7,1.9,1.9,0.463,0.335,0.533,0.651,0.547,0.1,0.2,-0.1,14.5,1.9
Tyrese Maxey,2020-21,PHI,SG,8.0,1.7,2.0,0.4,0.2,0.7,1.0,0.462,0.301,0.512,0.871,0.531,-1.5,-1.0,-0.5,14.5,1.9
Darius Garland,2020-21,CLE,PG,17.4,2.4,6.1,1.2,0.1,3.0,2.1,0.451,0.395,0.479,0.848,0.547,-2.1,0.0,-2.1,14.2,1.2
Jalen Brunson,2020-21,DAL,PG,12.6,3.4,3.5,0.5,0.0,1.2,1.8,0.523,0.405,0.578,0.795,0.618,0.9,1.5,-0.6,17.1,5.1
Immanuel Quickley,2020-21,NYK,PG,11.4,2.1,2.0,0.5,0.2,0.9,2.4,0.395,0.389,0.401,0.891,0.557,0.9,1.4,-0.5,15.8,3.2
LeBron James,2021-22,LAL,C,30.3,8.2,6.2,1.3,1.1,3.5,4.5,0.524,0.359,0.62,0.756,0.619,7.7,6.9,0.8,26.2,7.5
Kevin Durant,2021-22,BRK,PF,29.9,7.4,6.4,0.9,0.9,3.5,6.8,0.518,0.383,0.568,0.91,0.634,7.2,6.4,0.7,25.6,8.4
Stephen Curry,2021-22,GSW,PG,25.5,5.2,6.3,1.3,0.4,3.2,4.3,0.437,0.38,0.527,0.923,0.601,5.8,5.4,0.4,21.4,8.0
Nikola Jokić,2021-22,DEN,C,27.1,13.8,7.9,1.5,0.9,3.8,5.1,0.583,0.337,0.652,0.81,0.661,13.7,9.2,4.5,32.8,15.2
Giannis Antetokounmpo,2021-22,MIL,PF,29.9,11.6,5.8,1.1,1.4,3.3,8.3,0.553,0.293,0.616,0.722,0.633,11.2,7.6,3.5,32.1,12.9
Joel Embiid,2021-22,PHI,C,30.6,11.7,4.2,1.1,1.5,3.1,9.6,0.499,0.371,0.529,0.814,0.616,9.2,7.2,2.0,31.2,12.0
James Harden,2021-22,2TM,PG,22.0,7.7,10.3,1.3,0.6,4.4,7.2,0.41,0.33,0.476,0.877,0.583,4.0,3.7,0.3,20.9,7.6
Russell Westbrook,2021-22,LAL,PG,18.5,7.4,7.1,1.0,0.3,3.8,3.4,0.444,0.298,0.485,0.667,0.512,-1.6,-0.7,-0.9,15.0,1.7
Jayson Tatum,2021-22,BOS,SF,26.9,8.0,4.4,1.0,0.6,2.9,5.3,0.453,0.353,0.524,0.853,0.578,5.0,4.3,0.6,21.8,9.6
Luka Dončić,2021-22,DAL,PG,28.4,9.1,8.7,1.2,0.6,4.5,5.6,0.457,0.353,0.528,0.744,0.571,8.2,6.4,1.8,25.1,7.6
Anthony Davis,2021-22,LAL,C,23.2,9.9,3.1,1.2,2.3,2.1,4.4,0.532,0.186,0.571,0.713,0.578,3.8,2.6,1.2,23.9,4.5
Devin Booker,2021-22,PHO,SG,26.8,5.0,4.8,1.1,0.4,2.4,4.6,0.466,0.383,0.508,0.868,0.576,4.1,3.9,0.2,21.3,7.6
Damian Lillard,2021-22,POR,PG,24.0,4.1,7.3,0.6,0.4,2.9,5.5,0.402,0.324,0.485,0.878,0.55,1.3,4.0,-2.7,18.5,1.7
Jimmy Butler,2021-22,MIA,SF,21.4,5.9,5.5,1.6,0.5,2.1,6.9,0.48,0.233,0.52,0.87,0.592,6.3,4.5,1.9,23.6,9.2
Kyrie Irving,2021-22,BRK,PG,27.4,4.4,5.8,1.4,0.6,2.5,4.1,0.469,0.418,0.501,0.915,0.592,3.0,4.2,-1.2,21.4,3.3
Paul George,2021-22,LAC,PF,24.3,6.9,5.7,2.2,0.4,4.1,4.1,0.421,0.354,0.467,0.858,0.538,3.7,1.8,1.9,18.6,1.3
Chris Paul,2021-22,PHO,PG,14.7,4.4,10.8,1.9,0.3,2.4,2.6,0.493,0.317,0.559,0.837,0.581,5.4,3.1,2.3,20.8,9.4
Shai Gilgeous-Alexander,2021-22,OKC,PG,24.5,5.0,5.9,1.3,0.8,2.8,5.9,0.453,0.3,0.514,0.81,0.557,3.4,2.9,0.5,20.9,4.6
Ja Morant,2021-22,MEM,PG,27.4,5.7,6.7,1.2,0.4,3.4,5.5,0.493,0.344,0.534,0.761,0.575,6.1,6.2,-0.1,24.4,6.7
LaMelo Ball,2021-22,CHO,PG,20.1,6.7,7.6,1.6,0.4,3.3,2.8,0.429,0.389,0.462,0.872,0.554,3.4,3.3,0.1,19.7,5.8
Anthony Edwards,2021-22,MIN,SG,21.3,4.8,3.8,1.5,0.6,2.6,3.1,0.441,0.357,0.519,0.786,0.56,1.2,1.6,-0.4,16.5,4.3
Tyrese Haliburton,2021-22,2TM,PG,15.3,4.0,8.2,1.7,0.6,2.6,2.1,0.473,0.414,0.517,0.842,0.595,2.6,2.7,-0.1,18.2,7.0
Cade Cunningham,2021-22,DET,SG,17.4,5.5,5.6,1.2,0.7,3.7,2.2,0.416,0.314,0.472,0.845,0.504,-1.6,-1.1,-0.5,13.1,-0.5
Jalen Green,2021-22,HOU,SG,17.3,3.4,2.6,0.7,0.3,2.0,2.8,0.426,0.343,0.502,0.797,0.547,-2.9,-0.5,-2.4,12.5,0.7
Scottie Barnes,2021-22,TOR,PF,15.3,7.5,3.5,1.1,0.7,1.8,2.1,0.492,0.301,0.543,0.735,0.552,0.9,0.5,0.4,16.3,6.6
Klay Thompson,2021-22,GSW,SG,20.4,3.9,2.8,0.5,0.5,1.3,1.4,0.429,0.385,0.477,0.902,0.547,1.1,2.6,-1.6,16.7,1.8
Bradley Beal,2021-22,WAS,SG,23.2,4.7,6.6,0.9,0.4,3.4,4.2,0.451,0.3,0.508,0.833,0.539,0.8,2.0,-1.2,17.5,1.4
DeMar DeRozan,2021-22,CHI,PF,27.9,5.2,4.9,0.9,0.3,2.4,6.8,0.504,0.352,0.52,0.877,0.59,2.5,3.4,-0.9,23.1,8.8
Mike Conley,2021-22,UTA,PG,13.7,3.0,5.3,1.3,0.3,1.7,1.8,0.435,0.408,0.464,0.796,0.572,3.1,2.4,0.7,17.2,6.7
Julius Randle,2021-22,NYK,PF,20.1,9.9,5.1,0.7,0.5,3.4,4.2,0.411,0.308,0.458,0.756,0.509,0.5,0.4,0.2,15.7,3.1
Jaylen Brown,2021-22,BOS,SF,23.6,6.1,3.5,1.1,0.3,2.7,3.7,0.473,0.358,0.544,0.758,0.574,2.1,1.9,0.1,18.9,5.8
Jrue Holiday,2021-22,MIL,PG,18.3,4.5,6.8,1.6,0.4,2.7,2.0,0.501,0.411,0.547,0.761,0.593,3.2,2.9,0.3,19.8,6.9
Bam Adebayo,2021-22,MIA,C,19.1,10.1,3.4,1.4,0.8,2.6,4.6,0.557,0.0,0.562,0.753,0.608,3.8,1.7,2.1,21.8,7.2
Andrew Wiggins,2021-22,GSW,SF,17.2,4.5,2.2,1.0,0.7,1.5,2.0,0.466,0.393,0.513,0.634,0.56,0.4,0.3,0.1,15.0,5.1
Kristaps Porzingis,2021-22,2TM,PF,20.2,8.1,2.3,0.7,1.6,1.6,4.9,0.459,0.31,0.532,0.867,0.577,3.9,3.3,0.6,23.7,5.6
Deandre Ayton,2021-22,PHO,C,17.2,10.2,1.4,0.7,0.7,1.6,1.8,0.634,0.368,0.642,0.746,0.656,2.8,2.2,0.6,21.9,7.3
CJ McCollum,2021-22,2TM,PG,22.1,4.3,5.1,1.1,0.4,2.0,1.9,0.46,0.388,0.509,0.682,0.553,1.9,3.2,-1.3,18.3,3.6
Michael Porter Jr.,2021-22,DEN,SF,9.9,6.6,1.9,1.1,0.2,1.3,0.6,0.359,0.208,0.491,0.556,0.416,-3.5,-3.9,0.5,7.5,-0.2
Desmond Bane,2021-22,MEM,SG,18.2,4.4,2.7,1.2,0.4,1.5,1.8,0.461,0.436,0.484,0.903,0.592,2.7,2.5,0.3,17.6,7.2
RJ Barrett,2021-22,NYK,SF,20.0,5.8,3.0,0.6,0.2,2.2,4.1,0.408,0.342,0.442,0.714,0.511,-1.6,-0.3,-1.3,13.7,2.3
Austin Reaves,2021-22,LAL,SG,7.3,3.2,1.8,0.5,0.3,0.7,1.6,0.459,0.317,0.616,0.839,0.6,-1.9,-1.3,-0.6,11.5,2.9
Derrick White,2021-22,2TM,SG,13.2,3.5,4.9,0.9,0.8,1.6,2.7,0.421,0.312,0.515,0.864,0.549,0.9,0.4,0.6,14.8,5.1
Donovan Mitchell,2021-22,UTA,SG,25.9,4.2,5.3,1.5,0.2,3.0,4.0,0.448,0.355,0.533,0.853,0.572,4.3,4.6,-0.3,21.6,7.2
De'Aaron Fox,2021-22,SAC,PG,23.2,3.9,5.6,1.2,0.4,2.8,4.4,0.473,0.297,0.524,0.75,0.549,-0.6,0.6,-1.2,17.4,2.5
Domantas Sabonis,2021-22,2TM,PF,18.9,12.1,5.2,1.0,0.4,3.1,4.0,0.573,0.312,0.623,0.741,0.637,4.1,3.2,0.9,21.9,7.1
Karl-Anthony Towns,2021-22,MIN,C,24.6,9.8,3.6,1.0,1.1,3.1,5.2,0.529,0.41,0.58,0.822,0.64,5.0,4.5,0.5,24.1,10.3
Brandon Ingram,2021-22,NOP,SF,22.7,5.8,5.6,0.6,0.5,2.7,4.8,0.461,0.327,0.501,0.826,0.554,2.0,2.6,-0.6,18.7,3.9
Pascal Siakam,2021-22,TOR,PF,22.8,8.5,5.3,1.3,0.6,2.7,4.2,0.494,0.344,0.527,0.749,0.565,3.5,2.7,0.8,20.3,8.1
Fred VanVleet,2021-22,TOR,PG,20.3,4.4,6.7,1.7,0.5,2.6,3.0,0.403,0.377,0.44,0.874,0.552,3.6,3.1,0.5,17.3,6.7
Draymond Green,2021-22,GSW,PF,7.5,7.3,7.0,1.3,1.1,3.0,1.3,0.525,0.296,0.586,0.659,0.582,3.2,-1.4,4.6,14.3,3.6
Brook Lopez,2021-22,MIL,C,12.4,4.1,0.5,0.6,1.2,0.9,1.5,0.466,0.358,0.538,0.87,0.57,-1.3,-0.7,-0.7,16.0,0.7
Mikal Bridges,2021-22,PHO,SF,14.2,4.2,2.3,1.2,0.4,0.8,1.6,0.534,0.369,0.628,0.834,0.627,1.6,0.5,1.1,14.4,8.9
Aaron Gordon,2021-22,DEN,PF,15.0,5.9,2.5,0.6,0.6,1.8,2.3,0.52,0.335,0.605,0.743,0.602,-0.6,0.5,-1.1,15.3,5.2
Tyrese Maxey,2021-22,PHI,PG,17.5,3.2,4.3,0.7,0.4,1.2,2.8,0.485,0.427,0.512,0.866,0.594,0.6,1.3,-0.7,16.2,7.3
Darius Garland,2021-22,CLE,PG,21.7,3.3,8.6,1.3,0.1,3.6,3.2,0.462,0.383,0.512,0.892,0.576,2.6,3.4,-0.8,19.0,6.3
Jalen Brunson,2021-22,DAL,SG,16.3,3.9,4.8,0.8,0.0,1.6,2.3,0.502,0.373,0.545,0.84,0.583,0.9,0.9,0.0,17.1,7.5
Franz Wagner,2021-22,ORL,SF,15.2,4.5,2.9,0.9,0.4,1.5,2.4,0.468,0.354,0.511,0.863,0.559,-0.7,-0.4,-0.3,14.7,4.0
Alperen Sengun,2021-22,HOU,C,9.6,5.5,2.6,0.8,0.9,2.0,2.3,0.474,0.248,0.539,0.711,0.552,-1.0,-1.6,0.6,16.0,2.1
Josh Giddey,2021-22,OKC,SF,12.5,7.8,6.4,0.9,0.4,3.2,1.0,0.419,0.263,0.492,0.709,0.478,-0.9,-1.2,0.3,13.3,0.4
Immanuel Quickley,2021-22,NYK,PG,11.3,3.2,3.5,0.7,0.0,1.3,2.3,0.392,0.346,0.448,0.881,0.543,0.2,0.2,0.0,14.6,4.2
Cam Thomas,2021-22,BRK,SG,8.5,2.4,1.2,0.5,0.1,0.8,1.3,0.433,0.27,0.52,0.829,0.519,-3.4,-2.0,-1.4,11.7,0.8
LeBron James,2022-23,LAL,PF,28.9,8.3,6.8,0.9,0.6,3.2,4.6,0.5,0.321,0.58,0.768,0.583,6.1,5.5,0.6,23.9,5.6
